LOCATION,brand,date,fuel_type,fuel_price,dedup_hash,upd_dt_utc
GEELONG,viva,2019-11-09,PULP98,154.18,00a35f154a2a577406d86b6acaa72ebe,1573365616
GEELONG,bp,2019-11-08,ULP,128.89,8233530c572fbd2cd37892d4f29925b9,1573365616
GEELONG,viva,2019-11-09,ULP,129.83,2846d4ca4333bc428280746dca112b69,1573365616
GEELONG,bp,2019-11-09,DIESEL,132.3,b482a702d3bd3844911b71cda4a1052a,1573452014
GEELONG,viva,2019-11-12,DIESEL,132.89,0ebbbe835de4aa0409cf32831d2f2b67,1573452014
GEELONG,bp,2019-11-09,PULP95,138.38,b96b5117f0847225526a895670ebc936,1573452014
GEELONG,viva,2019-11-12,PULP95,139.01,a9b067ce0f6281f1614e2b25ed19bee1,1573452014
GEELONG,viva,2019-11-12,PULP98,155.41,b588d9b02f49c9b86be2dc02585b1394,1573452014
GEELONG,bp,2019-11-09,ULP,130.38,1adc0e84a83ba8c73bff3f21159b2796,1573452014
GEELONG,viva,2019-11-12,ULP,130.91,c117727e796ca33572a444afa55c87cd,1573452014
GEELONG,bp,2019-11-12,DIESEL,132.32,ebd792ba5c0e37db988417355bd4c8a1,1573538415
GEELONG,viva,2019-11-13,DIESEL,132.85,238976136c4d0e8ee0443ff66b234c05,1573538415
GEELONG,bp,2019-11-12,PULP95,139.82,2430e4785a0a6fff42152082851ce377,1573538415
GEELONG,viva,2019-11-13,PULP95,140.48,4517a90a9dee0045cddaaf5d56c02549,1573538415
GEELONG,viva,2019-11-13,PULP98,156.89,5bce50745e2377e0e2914e9a48edd967,1573538415
